Trinidad Bay and Trinidad Beach Surface Temperature Data														
"Trinidad Bay, CA   41Deg 3.3'N   124Deg  8.8' W"														
"Trinidad Beach, CA   41Deg  3.6'N   124Deg  8.9' W"														
Data are collected by staff at Humboldt State University Marine Laboratory. 														
"Current funding provided by California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
******************* NOTE ********************														
This data has been checked for key entry errors only.														
It has not been analyzed for overall quality.														
Data uncertainties are flagged with the following codes:														
"0 = good data,"														
"1 = illegible entry,"														
"2 = data differs from other sources, ie. temperature vs. salinity records,"														
"3 = data uncertain,"														
"4 = leaky bottle,"														
5 = SIO Pier Chlorophyll Program Data.														
6 = sample collected from Trinidad Bay.														
Time flags indicate date or time uncertainties.														
Data flags indicate uncertainties with data.														
Time of sample collection available for 1990-current data only.														
Time records in Pacific Standard time zone (PST).														
Time records between 1990-2004 may vary by up to 1 hour with actual sample														
time since time zone was not recorded during these years.														
"**Temperature data for Mar 1, 2015 - July 27, 2016 may be off by +0.1-0.7�C due to"														
 thermometer issues.  These uncertain data are flagged with 3's in data flag column.***														
==================================================================================														
***PLEASE CITE & REFERENCE THIS PROGRAM AS FOLLOWS***														
Shore Stations Program with current funding provided by the														
"California Parks and Recreation, Division of Boating and Waterways, Award # C1670003"														
1999	12	21	NaN	NaN	NaN	0	NaN	0						
1999	12	22	NaN	NaN	NaN	0	NaN	0						
1999	12	23	NaN	NaN	NaN	0	NaN	0						
1999	12	24	NaN	NaN	NaN	0	NaN	0						
1999	12	25	NaN	NaN	NaN	0	NaN	0						
1999	12	26	NaN	NaN	NaN	0	NaN	0						
1999	12	27	NaN	NaN	NaN	0	NaN	0						
1999	12	28	NaN	NaN	NaN	0	NaN	0						
1999	12	29	NaN	NaN	NaN	0	NaN	0						
1999	12	30	NaN	NaN	NaN	0	NaN	0						
1999	12	31	NaN	NaN	NaN	0	NaN	0						
2000	1	1	NaN	0	NaN	0	NaN	0						
2000	1	2	NaN	0	NaN	0	NaN	0						
2000	1	3	NaN	0	NaN	0	NaN	0						
2000	1	4	NaN	0	NaN	0	NaN	0						
2000	1	5	NaN	0	NaN	0	NaN	0						
2000	1	6	NaN	0	NaN	0	NaN	0						
2000	1	7	NaN	0	NaN	0	NaN	0						
2000	1	8	NaN	0	NaN	0	NaN	0						
2000	1	9	NaN	0	NaN	0	NaN	0						
2000	1	10	NaN	0	NaN	0	NaN	0						
2000	1	11	NaN	0	NaN	0	NaN	0						
2000	1	12	NaN	0	NaN	0	NaN	0						
2000	1	13	NaN	0	NaN	0	NaN	0						
2000	1	14	NaN	0	NaN	0	NaN	0						
2000	1	15	NaN	0	NaN	0	NaN	0						
2000	1	16	NaN	0	NaN	0	NaN	0						
2000	1	17	NaN	0	NaN	0	NaN	0						
2000	1	18	NaN	0	NaN	0	NaN	0						
2000	1	19	NaN	0	NaN	0	NaN	0						
2000	1	20	NaN	0	NaN	0	NaN	0						
2000	1	21	NaN	0	NaN	0	NaN	0						
2000	1	22	NaN	0	NaN	0	NaN	0						
2000	1	23	930	0	11.5	0	10.8	0						
2000	1	24	1330	0	NaN	0	NaN	0						
2000	1	25	1430	0	11.1	0	11.0	0						
2000	1	26	900	2	12.0	0	12.0	0						
2000	1	27	NaN	0	NaN	0	NaN	0						
2000	1	28	1030	0	11.0	0	11.2	0						
2000	1	29	1100	0	11.8	0	11.0	0						
2000	1	30	NaN	0	NaN	0	NaN	0						
2000	1	31	NaN	0	NaN	0	NaN	0						
2000	2	1	NaN	0	NaN	0	NaN	0						
2000	2	2	NaN	0	NaN	0	NaN	0						
2000	2	3	NaN	0	NaN	0	NaN	0						
2000	2	4	1015	0	11.5	0	11.8	0						
2000	2	5	1100	0	11.1	0	11.5	0						
2000	2	6	1200	0	11.5	0	12.0	0						
2000	2	7	930	0	11.3	0	11.5	0						
2000	2	8	NaN	0	NaN	0	NaN	0						
2000	2	9	1000	0	11.5	0	11.8	0						
2000	2	10	1230	2	11.2	0	11.3	0						
2000	2	11	NaN	0	NaN	0	NaN	0						
2000	2	12	1000	0	11.3	0	11.7	0						
2000	2	13	1000	0	11.5	0	11.5	0						
2000	2	14	NaN	0	NaN	0	NaN	0						
2000	2	15	NaN	0	NaN	0	NaN	0						
2000	2	16	1000	0	11.5	0	11.8	0						
2000	2	17	1300	2	13.0	0	12.5	0						
2000	2	18	NaN	0	NaN	0	NaN	0						
2000	2	19	1000	2	11.5	0	11.0	0						
2000	2	20	NaN	0	NaN	0	NaN	0						
2000	2	21	930	0	12.0	0	12.0	0						
2000	2	22	NaN	0	NaN	0	NaN	0						
2000	2	23	1000	0	11.0	0	11.0	0						
2000	2	24	1300	0	11.0	0	12.0	0						
2000	2	25	1800	2	NaN	0	11.5	0						
2000	2	26	NaN	0	NaN	0	NaN	0						
2000	2	27	1000	2	11.5	0	12.0	3						
2000	2	28	1300	0	11.8	0	11.9	0						
2000	2	29	NaN	0	NaN	0	NaN	0						
2000	3	1	1000	2	NaN	0	11.0	0						
2000	3	2	1300	0	NaN	0	12.0	0						
2000	3	3	1000	0	NaN	0	NaN	0						
2000	3	4	1000	0	NaN	0	11.5	0						
2000	3	5	1030	0	NaN	0	NaN	0						
2000	3	6	930	0	NaN	0	10.8	0						
2000	3	7	NaN	0	NaN	0	NaN	0						
2000	3	8	1000	2	NaN	0	10.5	0						
2000	3	9	1300	0	NaN	0	10.5	0						
2000	3	10	1000	0	NaN	0	NaN	0						
2000	3	11	1000	0	NaN	0	11.4	0						
2000	3	12	1000	0	NaN	0	12.0	0						
2000	3	13	NaN	0	NaN	0	NaN	0						
2000	3	14	NaN	0	NaN	0	NaN	0						
2000	3	15	NaN	0	NaN	0	NaN	0						
2000	3	16	NaN	0	NaN	0	NaN	0						
2000	3	17	NaN	0	NaN	0	NaN	0						
2000	3	18	NaN	0	NaN	0	NaN	0						
2000	3	19	NaN	0	NaN	0	NaN	0						
2000	3	20	1100	0	NaN	0	11.0	0						
2000	3	21	NaN	0	NaN	0	NaN	0						
2000	3	22	NaN	0	NaN	0	NaN	0						
2000	3	23	1300	0	NaN	0	10.5	0						
2000	3	24	NaN	0	NaN	0	NaN	0						
2000	3	25	1000	2	NaN	0	12.0	2						
2000	3	26	1100	2	NaN	0	10.1	0						
2000	3	27	1000	0	NaN	0	10.0	0						
2000	3	28	NaN	0	NaN	0	NaN	0						
2000	3	29	1000	2	NaN	0	10.0	0						
2000	3	30	1230	0	NaN	0	10.2	0						
2000	3	31	1030	0	NaN	0	11.0	0						
2000	4	1	1000	0	10.0	0	10.5	0						
2000	4	2	900	0	11.0	0	9.8	2						
2000	4	3	1100	0	10.4	2	10.0	2						
2000	4	4	NaN	0	NaN	0	NaN	0						
2000	4	5	900	0	10.0	0	10.8	0						
2000	4	6	1200	0	10.0	0	10.0	0						
2000	4	7	NaN	0	NaN	0	NaN	0						
2000	4	8	900	0	11.0	2	10.9	2						
2000	4	9	900	0	11.0	0	10.5	0						
2000	4	10	1100	0	11.8	0	12.2	0						
2000	4	11	NaN	0	NaN	0	NaN	0						
2000	4	12	NaN	0	NaN	0	NaN	0						
2000	4	13	1200	0	10.2	0	10.2	0						
2000	4	14	800	2	NaN	0	11.2	2						
2000	4	15	900	0	12.0	0	11.8	0						
2000	4	16	1000	0	11.8	0	11.6	0						
2000	4	17	900	0	11.0	0	11.0	0						
2000	4	18	NaN	0	NaN	0	NaN	0						
2000	4	19	1000	0	12.5	0	12.5	0						
2000	4	20	1200	0	13.0	0	13.5	0						
2000	4	21	1000	0	12.0	0	12.5	0						
2000	4	22	NaN	0	NaN	0	NaN	0						
2000	4	23	1000	0	12.5	0	13.0	0						
2000	4	24	930	0	12.5	0	12.2	0						
2000	4	25	NaN	0	NaN	0	NaN	0						
2000	4	26	1000	0	12.5	0	12.0	0						
2000	4	27	1100	0	12.7	0	12.5	0						
2000	4	28	NaN	0	NaN	0	NaN	0						
2000	4	29	900	0	12.8	0	12.0	0						
2000	4	30	NaN	0	NaN	0	NaN	0						
2000	5	1	900	0	13.0	0	12.8	0						
2000	5	2	NaN	0	NaN	0	NaN	0						
2000	5	3	NaN	0	NaN	0	NaN	0						
2000	5	4	1200	0	12.5	0	12.0	0						
2000	5	5	NaN	0	NaN	0	NaN	0						
2000	5	6	NaN	0	NaN	0	NaN	0						
2000	5	7	NaN	0	NaN	0	NaN	0						
2000	5	8	NaN	0	NaN	0	NaN	0						
2000	5	9	NaN	0	NaN	0	NaN	0						
2000	5	10	NaN	0	NaN	0	NaN	0						
2000	5	11	1000	0	12.5	0	12.5	0						
2000	5	12	NaN	0	NaN	0	NaN	0						
2000	5	13	NaN	0	NaN	0	NaN	0						
2000	5	14	NaN	0	NaN	0	NaN	0						
2000	5	15	1100	0	13.0	0	13.0	0						
2000	5	16	1200	0	12.2	0	12.2	0						
2000	5	17	1400	0	12.8	0	13.5	0						
2000	5	18	1600	0	13.2	0	13.0	0						
2000	5	19	1300	0	12.8	0	12.5	0						
2000	5	20	NaN	0	NaN	0	NaN	0						
2000	5	21	NaN	0	NaN	0	NaN	0						
2000	5	22	900	0	11.5	0	12.5	0						
2000	5	23	900	0	12.0	0	12.5	0						
2000	5	24	830	0	10.0	0	11.0	0						
2000	5	25	1330	0	14.5	0	14.0	0						
2000	5	26	1500	0	12.0	0	11.5	0						
2000	5	27	NaN	0	NaN	0	NaN	0						
2000	5	28	NaN	0	NaN	0	NaN	0						
2000	5	29	NaN	0	NaN	0	NaN	0						
2000	5	30	1130	0	11.8	0	11.0	0						
2000	5	31	900	0	14.0	0	14.0	0						
2000	6	1	1300	0	11.5	0	9.5	0						
2000	6	2	1100	0	10.0	0	9.5	0						
2000	6	3	NaN	0	NaN	0	NaN	0						
2000	6	4	NaN	0	NaN	0	NaN	0						
2000	6	5	1000	0	14.0	0	12.5	0						
2000	6	6	1100	0	12.5	0	13.0	0						
2000	6	7	630	0	12.5	0	11.5	0						
2000	6	8	1000	0	13.5	0	13.5	0						
2000	6	9	NaN	0	NaN	0	NaN	0						
2000	6	10	NaN	0	NaN	0	NaN	0						
2000	6	11	NaN	0	NaN	0	NaN	0						
2000	6	12	1230	0	12.2	0	12.1	0						
2000	6	13	900	0	12.0	0	12.0	0						
2000	6	14	1230	0	11.0	0	11.3	0						
2000	6	15	900	0	10.5	0	10.5	0						
2000	6	16	1030	2	10.0	0	10.5	0						
2000	6	17	NaN	0	NaN	0	NaN	0						
2000	6	18	NaN	0	NaN	0	NaN	0						
2000	6	19	1200	0	11.0	2	11.2	2						
2000	6	20	1500	0	11.0	2	11.5	2						
2000	6	21	800	0	11.0	0	11.5	0						
2000	6	22	1300	0	11.0	0	11.8	0						
2000	6	23	NaN	0	NaN	0	NaN	0						
2000	6	24	NaN	0	NaN	0	NaN	0						
2000	6	25	NaN	0	NaN	0	NaN	0						
2000	6	26	1000	2	14.0	0	15.0	0						
2000	6	27	1030	0	15.0	0	15.0	0						
2000	6	28	900	0	NaN	0	NaN	0						
2000	6	29	900	2	12.8	0	13.0	0						
2000	6	30	1530	0	14.0	0	13.0	0						
2000	7	1	NaN	0	NaN	0	NaN	0						
2000	7	2	NaN	0	NaN	0	NaN	0						
2000	7	3	NaN	0	NaN	0	NaN	0						
2000	7	4	NaN	0	NaN	0	NaN	0						
2000	7	5	NaN	0	NaN	0	NaN	0						
2000	7	6	NaN	0	NaN	0	NaN	0						
2000	7	7	NaN	0	NaN	0	NaN	0						
2000	7	8	NaN	0	NaN	0	NaN	0						
2000	7	9	NaN	0	NaN	0	NaN	0						
2000	7	10	NaN	0	NaN	0	NaN	0						
2000	7	11	NaN	0	NaN	0	NaN	0						
2000	7	12	1030	0	NaN	0	12.0	0						
2000	7	13	NaN	0	NaN	0	NaN	0						
2000	7	14	NaN	0	NaN	0	NaN	0						
2000	7	15	NaN	0	NaN	0	NaN	0						
2000	7	16	NaN	0	NaN	0	NaN	0						
2000	7	17	1100	0	NaN	0	13.0	0						
2000	7	18	NaN	0	NaN	0	NaN	0						
2000	7	19	NaN	0	NaN	0	NaN	0						
2000	7	20	NaN	0	NaN	0	NaN	0						
2000	7	21	NaN	0	NaN	0	NaN	0						
2000	7	22	NaN	0	NaN	0	NaN	0						
2000	7	23	NaN	0	NaN	0	NaN	0						
2000	7	24	NaN	0	NaN	0	NaN	0						
2000	7	25	NaN	0	NaN	0	NaN	0						
2000	7	26	NaN	0	NaN	0	NaN	0						
2000	7	27	NaN	0	NaN	0	NaN	0						
2000	7	28	NaN	0	NaN	0	NaN	0						
2000	7	29	NaN	0	NaN	0	NaN	0						
2000	7	30	NaN	0	NaN	0	NaN	0						
2000	7	31	NaN	0	NaN	0	NaN	0						
2000	8	1	NaN	0	NaN	0	NaN	0						
2000	8	2	1030	0	11.0	0	11.7	0						
2000	8	3	NaN	0	NaN	0	NaN	0						
2000	8	4	915	2	12.0	0	11.5	0						
2000	8	5	NaN	0	NaN	0	NaN	0						
2000	8	6	NaN	0	NaN	0	NaN	0						
2000	8	7	1100	0	11.9	0	11.9	0						
2000	8	8	NaN	0	NaN	0	NaN	0						
2000	8	9	NaN	0	NaN	0	NaN	0						
2000	8	10	NaN	0	NaN	0	NaN	0						
2000	8	11	NaN	0	NaN	0	NaN	0						
2000	8	12	NaN	0	NaN	0	NaN	0						
2000	8	13	NaN	0	NaN	0	NaN	0						
2000	8	14	NaN	0	NaN	0	NaN	0						
2000	8	15	NaN	0	NaN	0	NaN	0						
2000	8	16	NaN	0	NaN	0	NaN	0						
2000	8	17	NaN	0	NaN	0	NaN	0						
2000	8	18	NaN	0	NaN	0	NaN	0						
2000	8	19	NaN	0	NaN	0	NaN	0						
2000	8	20	NaN	0	NaN	0	NaN	0						
2000	8	21	NaN	0	NaN	0	NaN	0						
2000	8	22	1230	0	12.8	0	NaN	0						
2000	8	23	1230	0	13.0	0	12.0	0						
2000	8	24	1230	0	14.0	0	14.5	0						
2000	8	25	1100	0	14.0	2	14.5	2						
2000	8	26	NaN	0	NaN	0	NaN	0						
2000	8	27	NaN	0	NaN	0	NaN	0						
2000	8	28	1300	0	12.5	0	11.5	0						
2000	8	29	NaN	0	NaN	0	NaN	0						
2000	8	30	NaN	0	NaN	0	NaN	0						
2000	8	31	NaN	0	NaN	0	NaN	0						
2000	9	1	NaN	0	NaN	0	NaN	0						
2000	9	2	NaN	0	NaN	0	NaN	0						
2000	9	3	NaN	0	NaN	0	NaN	0						
2000	9	4	NaN	0	NaN	0	NaN	0						
2000	9	5	NaN	0	NaN	0	NaN	0						
2000	9	6	NaN	0	NaN	0	NaN	0						
2000	9	7	NaN	0	NaN	0	NaN	0						
2000	9	8	NaN	0	NaN	0	NaN	0						
2000	9	9	NaN	0	NaN	0	NaN	0						
2000	9	10	830	0	11.9	0	11.9	0						
2000	9	11	1100	0	12.5	0	12.0	0						
2000	9	12	1500	0	13.8	0	14.0	0						
2000	9	13	NaN	0	NaN	0	NaN	0						
2000	9	14	1530	0	14.0	0	13.2	0						
2000	9	15	NaN	0	NaN	0	NaN	0						
2000	9	16	930	0	13.5	0	13.0	0						
2000	9	17	NaN	0	NaN	0	NaN	0						
2000	9	18	1200	0	14.5	0	13.0	0						
2000	9	19	NaN	0	NaN	0	NaN	0						
2000	9	20	NaN	0	NaN	0	NaN	0						
2000	9	21	1500	0	NaN	0	NaN	0						
2000	9	22	NaN	0	NaN	0	NaN	0						
2000	9	23	840	0	12.3	0	12.0	0						
2000	9	24	1500	0	14.0	0	13.5	0						
2000	9	25	1400	0	14.5	0	13.5	0						
2000	9	26	NaN	0	NaN	0	NaN	0						
2000	9	27	NaN	0	NaN	0	NaN	0						
2000	9	28	NaN	0	NaN	0	NaN	0						
2000	9	29	1330	0	NaN	0	NaN	0						
2000	9	30	930	0	12.2	0	11.9	0						
2000	10	1	1100	0	NaN	0	NaN	0						
2000	10	2	1130	0	11.5	0	11.5	0						
2000	10	3	1100	0	NaN	0	NaN	0						
2000	10	4	1100	0	NaN	0	NaN	0						
2000	10	5	1100	0	NaN	0	NaN	0						
2000	10	6	1000	0	11.5	0	12.0	0						
2000	10	7	1530	0	NaN	0	12.0	0						
2000	10	8	1500	0	NaN	0	NaN	0						
2000	10	9	1130	0	11.3	0	12.5	0						
2000	10	10	1300	0	11.8	0	12.0	0						
2000	10	11	1100	0	NaN	0	NaN	0						
2000	10	12	1100	0	NaN	0	NaN	0						
2000	10	13	1100	0	NaN	0	NaN	0						
2000	10	14	930	0	11.0	0	10.5	0						
2000	10	15	1100	0	NaN	0	NaN	0						
2000	10	16	1100	0	NaN	0	NaN	0						
2000	10	17	1100	0	NaN	0	NaN	0						
2000	10	18	1445	2	12.0	0	11.6	0						
2000	10	19	1100	0	NaN	0	NaN	0						
2000	10	20	1100	0	NaN	0	NaN	0						
2000	10	21	1000	0	11.5	0	11.3	0						
2000	10	22	1100	0	NaN	0	NaN	0						
2000	10	23	1200	0	11.5	0	11.3	0						
2000	10	24	1100	0	NaN	0	NaN	0						
2000	10	25	1100	0	NaN	0	NaN	0						
2000	10	26	1100	0	NaN	0	NaN	0						
2000	10	27	1100	0	NaN	0	NaN	0						
2000	10	28	1100	0	NaN	0	NaN	0						
2000	10	29	1200	0	NaN	0	NaN	0						
2000	10	30	1500	0	12.0	0	12.0	0						
2000	10	31	1200	0	NaN	0	NaN	0						
2000	11	1	1200	0	NaN	0	NaN	0						
2000	11	2	1200	0	NaN	0	NaN	0						
2000	11	3	1200	0	NaN	0	NaN	0						
2000	11	4	1600	0	12.0	0	11.5	0						
2000	11	5	1030	0	11.2	0	11.2	2						
2000	11	6	1300	0	11.5	0	12.0	0						
2000	11	7	1200	0	NaN	0	NaN	0						
2000	11	8	1200	0	NaN	0	NaN	0						
2000	11	9	1200	0	NaN	0	NaN	0						
2000	11	10	1200	0	NaN	0	NaN	0						
2000	11	11	1200	0	NaN	0	NaN	0						
2000	11	12	1200	0	NaN	0	NaN	0						
2000	11	13	1230	0	9.5	0	10.0	0						
2000	11	14	1200	0	NaN	0	NaN	0						
2000	11	15	1200	0	NaN	0	NaN	0						
2000	11	16	1200	0	NaN	0	NaN	0						
2000	11	17	1200	0	NaN	0	NaN	0						
2000	11	18	1200	0	NaN	0	NaN	0						
2000	11	19	1200	0	NaN	0	NaN	0						
2000	11	20	1200	0	NaN	0	NaN	0						
2000	11	21	1200	0	NaN	0	NaN	0						
2000	11	22	1200	0	NaN	0	NaN	0						
2000	11	23	1200	0	NaN	0	NaN	0						
2000	11	24	1200	0	NaN	0	NaN	0						
2000	11	25	1200	0	NaN	0	NaN	0						
2000	11	26	1000	0	NaN	0	NaN	0						
2000	11	27	1200	0	NaN	0	NaN	0						
2000	11	28	1600	2	11.0	3	11.0	2						
2000	11	29	1430	0	11.0	0	11.0	0						
2000	11	30	1500	0	11.0	0	NaN	0						
2000	12	1	1500	0	NaN	0	13.0	0						
2000	12	2	1500	0	12.0	0	NaN	0						
2000	12	3	1300	0	NaN	0	13.0	0						
2000	12	4	1230	0	13.0	0	12.5	0						
2000	12	5	1400	0	13.0	0	12.8	0						
2000	12	6	1500	0	12.2	0	12.2	0						
2000	12	7	1600	0	12.0	0	12.3	2						
2000	12	8	1200	0	NaN	0	NaN	0						
2000	12	9	1200	0	12.1	0	11.9	0						
2000	12	10	1100	0	11.9	0	11.7	0						
2000	12	11	1230	0	11.0	0	10.9	0						
2000	12	12	1600	0	11.2	0	11.6	0						
2000	12	13	1200	0	NaN	0	NaN	0						
2000	12	14	1600	0	11.5	0	11.6	0						
2000	12	15	1200	0	NaN	0	NaN	0						
2000	12	16	1100	0	11.5	0	11.7	0						
2000	12	17	NaN	0	NaN	0	NaN	0						
2000	12	18	1230	2	12.0	0	11.9	0						
2000	12	19	1230	0	11.6	0	11.5	0						
2000	12	20	NaN	0	NaN	0	NaN	0						
2000	12	21	NaN	0	NaN	0	NaN	0						
2000	12	22	NaN	0	NaN	0	NaN	0						
2000	12	23	NaN	0	NaN	0	NaN	0						
2000	12	24	NaN	0	NaN	0	NaN	0						
2000	12	25	NaN	0	NaN	0	NaN	0						
2000	12	26	NaN	0	NaN	0	NaN	0						
2000	12	27	NaN	0	NaN	0	NaN	0						
2000	12	28	NaN	0	NaN	0	NaN	0						
2000	12	29	NaN	0	NaN	0	NaN	0						
2000	12	30	NaN	0	NaN	0	NaN	0						
2000	12	31	NaN	0	NaN	0	NaN	0						
2001	1	1	NaN	0	NaN	0	NaN	0						
2001	1	2	NaN	0	NaN	0	NaN	0						
2001	1	3	NaN	0	NaN	0	NaN	0						
2001	1	4	NaN	0	NaN	0	NaN	0						
2001	1	5	NaN	0	NaN	0	NaN	0						
2001	1	6	NaN	0	NaN	0	NaN	0						
2001	1	7	NaN	0	NaN	0	NaN	0						
2001	1	8	NaN	0	NaN	0	NaN	0						
2001	1	9	NaN	0	NaN	0	NaN	0						
2001	1	10	NaN	0	NaN	0	NaN	0						
2001	1	11	NaN	0	NaN	0	NaN	0						
2001	1	12	NaN	0	NaN	0	NaN	0						
2001	1	13	NaN	0	NaN	0	NaN	0						
2001	1	14	NaN	0	NaN	0	NaN	0						
2001	1	15	NaN	0	NaN	0	NaN	0						
2001	1	16	NaN	0	NaN	0	NaN	0						
2001	1	17	NaN	0	NaN	0	NaN	0						
2001	1	18	NaN	0	NaN	0	NaN	0						
2001	1	19	NaN	0	NaN	0	NaN	0						
2001	1	20	NaN	0	NaN	0	NaN	0						
2001	1	21	NaN	0	NaN	0	NaN	0						
2001	1	22	NaN	0	NaN	0	NaN	0						
2001	1	23	NaN	0	NaN	0	NaN	0						
2001	1	24	NaN	0	NaN	0	NaN	0						
2001	1	25	NaN	0	NaN	0	NaN	0						
2001	1	26	1230	0	11.2	0	11.4	0						
2001	1	27	1600	0	11.7	0	11.9	0						
2001	1	28	NaN	0	NaN	0	NaN	0						
2001	1	29	NaN	0	NaN	0	NaN	0						
2001	1	30	1200	0	9.9	0	9.6	0						
2001	1	31	NaN	0	NaN	0	NaN	0						
2001	2	1	900	0	9.9	0	10.2	0						
2001	2	2	1330	2	11.4	0	11.3	0						
2001	2	3	1000	0	11.5	0	11.6	0						
2001	2	4	NaN	0	NaN	0	NaN	0						
2001	2	5	NaN	0	NaN	0	NaN	0						
2001	2	6	1030	0	11.0	0	11.2	0						
2001	2	7	1200	0	10.5	0	11.1	0						
2001	2	8	830	0	8.6	0	8.4	0						
2001	2	9	1530	0	8.6	0	NaN	0						
2001	2	10	1000	0	NaN	0	NaN	0						
2001	2	11	1000	0	8.6	0	10.5	2						
2001	2	12	1400	0	14.0	0	13.5	0						
2001	2	13	1130	0	10.5	0	10.4	0						
2001	2	14	1200	0	10.7	0	11.5	0						
2001	2	15	NaN	0	NaN	0	NaN	0						
2001	2	16	1230	0	10.1	0	10.6	0						
2001	2	17	1530	0	9.7	0	9.9	0						
2001	2	18	1300	0	11.2	0	11.3	0						
2001	2	19	930	0	10.8	0	10.2	0						
2001	2	20	1030	0	9.8	0	10.0	0						
2001	2	21	1200	0	11.2	0	11.4	0						
2001	2	22	1000	0	NaN	0	9.6	0						
2001	2	23	1530	0	9.9	0	10.4	0						
2001	2	24	1030	0	NaN	0	NaN	0						
2001	2	25	1000	0	9.8	0	10.2	0						
2001	2	26	1000	0	10.1	0	11.0	0						
2001	2	27	1100	0	10.0	0	10.0	0						
2001	2	28	NaN	0	NaN	0	NaN	0						
2001	3	1	1000	0	9.7	0	10.9	0						
2001	3	2	1330	0	11.3	0	11.1	0						
2001	3	3	1600	0	9.9	0	11.5	0						
2001	3	4	1000	0	9.8	0	10.0	3						
2001	3	5	NaN	0	NaN	0	NaN	0						
2001	3	6	1200	0	11.8	0	11.8	0						
2001	3	7	1200	0	NaN	0	NaN	0						
2001	3	8	1030	0	10.0	0	10.2	0						
2001	3	9	NaN	0	NaN	0	NaN	0						
2001	3	10	1000	0	10.0	0	10.5	0						
2001	3	11	1600	0	10.3	0	10.8	0						
2001	3	12	900	0	13.0	0	12.0	0						
2001	3	13	1130	0	11.4	2	11.3	2						
2001	3	14	1230	0	11.1	0	11.7	0						
2001	3	15	830	0	9.8	0	9.9	0						
2001	3	16	1330	0	11.0	0	12.1	0						
2001	3	17	930	0	10.0	0	9.9	0						
2001	3	18	1530	0	11.8	0	11.4	0						
2001	3	19	1000	0	11.1	0	NaN	0						
2001	3	20	1100	2	10.1	0	10.4	0						
2001	3	21	NaN	0	NaN	0	NaN	0						
2001	3	22	NaN	0	NaN	0	NaN	0						
2001	3	23	NaN	0	NaN	0	NaN	0						
2001	3	24	1030	0	10.6	0	10.6	0						
2001	3	25	1030	0	12.1	0	11.7	0						
2001	3	26	1100	0	12.1	0	11.8	0						
2001	3	27	1000	0	10.5	0	10.9	0						
2001	3	28	1300	0	12.2	0	12.4	0						
2001	3	29	NaN	0	NaN	0	NaN	0						
2001	3	30	1000	0	11.4	0	10.9	0						
2001	3	31	1000	0	11.2	0	10.9	0						
2001	4	1	900	0	9.2	0	10.1	0						
2001	4	2	1230	0	11.7	0	11.7	0						
2001	4	3	1000	0	8.9	0	10.0	0						
2001	4	4	1600	0	10.2	0	11.7	0						
2001	4	5	815	0	9.2	0	9.5	0						
2001	4	6	NaN	0	NaN	0	NaN	0						
2001	4	7	1600	0	9.0	0	9.9	0						
2001	4	8	900	0	8.6	0	9.8	0						
2001	4	9	900	0	NaN	0	NaN	0						
2001	4	10	1100	0	9.0	0	11.5	0						
2001	4	11	NaN	0	NaN	0	NaN	0						
2001	4	12	815	0	8.4	0	8.9	0						
2001	4	13	1200	0	9.6	0	11.6	0						
2001	4	14	1330	0	9.4	0	11.4	0						
2001	4	15	930	0	10.3	0	10.3	0						
2001	4	16	1000	0	10.7	0	10.2	0						
2001	4	17	1000	0	10.9	0	10.4	0						
2001	4	18	NaN	0	NaN	0	10.2	0						
2001	4	19	730	0	10.0	0	NaN	0						
2001	4	20	1300	0	12.2	0	11.7	0						
2001	4	21	NaN	0	NaN	0	NaN	0						
2001	4	22	900	0	10.1	0	10.6	0						
2001	4	23	1430	0	11.4	0	12.3	0						
2001	4	24	1030	0	11.4	0	10.3	0						
2001	4	25	630	0	9.9	0	9.8	0						
2001	4	26	830	0	10.1	0	9.7	0						
2001	4	27	1200	0	12.3	2	12.6	0						
2001	4	28	1500	0	11.6	0	12.3	0						
2001	4	29	1000	0	11.1	0	11.1	0						
2001	4	30	NaN	0	NaN	0	NaN	0						
2001	5	1	1100	0	11.0	0	11.4	0						
2001	5	2	1200	0	10.1	0	12.1	0						
2001	5	3	1000	0	NaN	0	NaN	0						
2001	5	4	1530	2	NaN	0	NaN	0						
2001	5	5	1300	0	9.0	0	8.5	0						
2001	5	6	NaN	0	NaN	0	NaN	0						
2001	5	7	NaN	0	NaN	0	NaN	0						
2001	5	8	1100	0	11.4	0	10.6	0						
2001	5	9	NaN	0	NaN	0	NaN	0						
2001	5	10	1100	2	NaN	0	12.3	2						
2001	5	11	1300	0	15.8	0	14.0	0						
2001	5	12	NaN	0	NaN	0	NaN	0						
2001	5	13	1100	0	14.3	0	14.1	0						
2001	5	14	1300	0	11.5	0	12.2	0						
2001	5	15	NaN	0	NaN	0	NaN	0						
2001	5	16	1500	0	14.4	0	13.5	0						
2001	5	17	NaN	0	NaN	0	NaN	0						
2001	5	18	1630	0	11.4	0	11.9	0						
2001	5	19	1030	0	11.5	0	11.2	0						
2001	5	20	NaN	0	NaN	0	NaN	0						
2001	5	21	830	0	10.7	0	10.4	0						
2001	5	22	1330	0	13.1	0	12.3	0						
2001	5	23	1405	0	13.0	0	11.5	0						
2001	5	24	900	0	11.4	0	12.3	0						
2001	5	25	1330	0	12.0	0	11.4	0						
2001	5	26	NaN	0	NaN	0	NaN	0						
2001	5	27	NaN	0	NaN	0	NaN	0						
2001	5	28	NaN	0	NaN	0	NaN	0						
